sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	1.145981431	1.145981431	0	0	0.9813173413	0	0	4.116606712
1	1.152981877	1.152981877	0	0	0.980894804	0	0	4.11699295
2	1.134648681	1.134648681	0	0	0.9812721014	0	0	4.11702919
3	1.119750738	1.119750738	0	0	0.9803022742	0	0	4.117073536
4	1.129372954	1.129372954	0	0	0.9798082709	0	0	4.117094517
5	1.137065887	1.137065887	0	0	0.9799125195	0	0	4.117026329
6	1.138854027	1.138854027	0	0	0.9818090796	0	0	4.116280079
7	1.156363964	1.156363964	0	0	0.9823744893	0	0	4.115159035
8	1.155010462	1.155010462	0	0	0.9822660089	0	0	4.116003036
9	1.150925279	1.150925279	0	0	0.9813200831	0	0	4.115493774
10	1.138849854	1.138849854	0	0	0.9812002778	0	0	4.116202354
11	1.149649143	1.149649143	0	0	0.9803177714	0	0	4.117043018
12	1.163627386	1.163627386	0	0	0.9805032015	0	0	4.117107391
13	1.200303912	1.200303912	0	0	0.9813697338	0	0	4.117061615
14	1.248704672	1.248704672	0	0	0.9817332029	0	0	4.117147923
15	1.291168571	1.291168571	0	0	0.9820635915	0	0	4.117166042
16	1.306314707	1.306314707	0	0	0.9820657372	0	0	4.117095947
17	1.289584398	1.289584398	0	0	0.9806182384	0	0	4.116840839
18	1.262559772	1.262559772	0	0	0.9800878167	0	0	4.117041588
19	1.245762706	1.245762706	0	0	0.9796208143	0	0	4.117129326
20	1.235571384	1.235571384	0	0	0.9789430499	0	0	4.116938591
21	1.228186965	1.228186965	0	0	0.9787968993	0	0	4.11700201
22	1.213903666	1.213903666	0	0	0.9795516133	0	0	4.117080212
23	1.197844505	1.197844505	0	0	0.980956018	0	0	4.116494179
24	1.200351834	1.200351834	0	0	0.9805265069	0	0	4.117080688
25	1.20465982	1.20465982	0	0	0.9806736708	0	0	4.117003441
26	1.205873251	1.205873251	0	0	0.9808723927	0	0	4.117080688
27	1.19233954	1.19233954	0	0	0.9806836247	0	0	4.117103577
28	1.180857897	1.180857897	0	0	0.9796818495	0	0	4.117083073
29	1.182591438	1.182591438	0	0	0.9792234302	0	0	4.117049217
30	1.175147057	1.175147057	0	0	0.9807645679	0	0	4.116016388
31	1.180207253	1.180207253	0	0	0.981208086	0	0	4.115872383
32	1.174558163	1.174558163	0	0	0.9815869927	0	0	4.116520405
33	1.166311741	1.166311741	0	0	0.9806286693	0	0	4.116803646
34	1.153310299	1.153310299	0	0	0.9803645015	0	0	4.116427898
35	1.119125605	1.119125605	0	0	0.9798744917	0	0	4.117051125
36	1.069267035	1.069267035	0	0	0.9799721837	0	0	4.117067337
37	1.024770021	1.024770021	0	0	0.9800890088	0	0	4.117063999
38	1.002046585	1.002046585	0	0	0.9814080596	0	0	4.117191792
39	1.014718533	1.014718533	0	0	0.9819198847	0	0	4.117212772
40	1.051104069	1.051104069	0	0	0.9820348024	0	0	4.117118835
41	1.043613672	1.043613672	0	0	0.9803694487	0	0	4.117056847
42	1.026010394	1.026010394	0	0	0.9798941612	0	0	4.117073536
43	1.006905437	1.006905437	0	0	0.9793832898	0	0	4.116905212
44	0.9931031466	0.9931031466	0	0	0.9791202545	0	0	4.117055893
45	0.9774095416	0.9774095416	0	0	0.979172647	0	0	4.116855621
46	0.9789125323	0.9789125323	0	0	0.980044663	0	0	4.117136478
47	0.9666406512	0.9666406512	0	0	0.9810487628	0	0	4.116793156
48	0.9767329097	0.9767329097	0	0	0.9805733562	0	0	4.117064476
49	0.9717301726	0.9717301726	0	0	0.9804536104	0	0	4.11693573
50	0.9715420008	0.9715420008	0	0	0.9802851677	0	0	4.116988182
51	0.9461073875	0.9461073875	0	0	0.9798009992	0	0	4.117062569
52	0.9598735571	0.9598735571	0	0	0.9792648554	0	0	4.11706686
53	0.9626326561	0.9626326561	0	0	0.9802157283	0	0	4.117024899
54	0.9636230469	0.9636230469	0	0	0.9809641242	0	0	4.116680622
55	0.9594522119	0.9594522119	0	0	0.9820656776	0	0	4.115408897
56	0.9667965174	0.9667965174	0	0	0.981949687	0	0	4.115660667
57	0.9635081291	0.9635081291	0	0	0.9809244871	0	0	4.115300655
58	1.010163426	1.010163426	0	0	0.9809200764	0	0	4.115440369
59	1.036276579	1.036276579	0	0	0.9800921679	0	0	4.116112709
60	1.059932113	1.059932113	0	0	0.9804124236	0	0	4.116415977
61	1.08080399	1.08080399	0	0	0.9807522893	0	0	4.11687088
62	1.132583976	1.132583976	0	0	0.9814599156	0	0	4.117120743
63	1.173517346	1.173517346	0	0	0.9818829298	0	0	4.11703825
64	1.196016788	1.196016788	0	0	0.9820290804	0	0	4.117136002
65	1.199305177	1.199305177	0	0	0.9813740849	0	0	4.116436005
66	1.163829207	1.163829207	0	0	0.9801554084	0	0	4.117022038
67	1.151053667	1.151053667	0	0	0.9795462489	0	0	4.116710186
68	1.138324022	1.138324022	0	0	0.9788271785	0	0	4.116976738
69	1.11096108	1.11096108	0	0	0.9791597724	0	0	4.117050171
70	1.115546584	1.115546584	0	0	0.9797036052	0	0	4.117063522
71	1.100623608	1.100623608	0	0	0.9809941053	0	0	4.116909027
72	1.102085352	1.102085352	0	0	0.9807915688	0	0	4.116157055
73	1.105546117	1.105546117	0	0	0.9797942042	0	0	4.116999149
74	1.106793046	1.106793046	0	0	0.9800236225	0	0	4.116740704
75	1.066190124	1.066190124	0	0	0.9800440669	0	0	4.117044926
76	1.075041771	1.075041771	0	0	0.979688108	0	0	4.117011547
77	1.090621471	1.090621471	0	0	0.9810855389	0	0	4.116727352
78	1.088064075	1.088064075	0	0	0.981615603	0	0	4.115772247
79	1.100062251	1.100062251	0	0	0.9815722704	0	0	4.114971638
80	1.095090747	1.095090747	0	0	0.9819595814	0	0	4.115099907
81	1.092675686	1.092675686	0	0	0.9807026982	0	0	4.115189552
82	1.090636134	1.090636134	0	0	0.9807818532	0	0	4.11572361
83	1.078819036	1.078819036	0	0	0.9797410369	0	0	4.116225243
84	1.056162	1.056162	0	0	0.9795033336	0	0	4.116523266
85	1.050069451	1.050069451	0	0	0.9805542231	0	0	4.117068291
86	1.03003943	1.03003943	0	0	0.9816105962	0	0	4.117160797
87	1.033666015	1.033666015	0	0	0.9824903607	0	0	4.116733551
88	1.056441903	1.056441903	0	0	0.9823056459	0	0	4.117175102
89	1.056355476	1.056355476	0	0	0.980648756	0	0	4.116470814
90	1.041031599	1.041031599	0	0	0.9799638391	0	0	4.116054535
91	1.031746864	1.031746864	0	0	0.9795612097	0	0	4.115552425
92	1.027457476	1.027457476	0	0	0.979300797	0	0	4.115374088
93	1.019928694	1.019928694	0	0	0.9797163606	0	0	4.116219044
94	1.019195199	1.019195199	0	0	0.9803599119	0	0	4.115922928
95	1.020186305	1.020186305	0	0	0.9817842841	0	0	4.1153965
96	1.013354778	1.013354778	0	0	0.9817318916	0	0	4.115702152
97	1.01721096	1.01721096	0	0	0.9809449315	0	0	4.116734505
98	1.004106879	1.004106879	0	0	0.9806761742	0	0	4.116497517
99	0.9755510688	0.9755510688	0	0	0.9798921943	0	0	4.117028236
100	0.9814080596	0.9814080596	0	0	0.9794236422	0	0	4.117033005
101	0.972502768	0.972502768	0	0	0.9799546003	0	0	4.117025852
102	0.9705374837	0.9705374837	0	0	0.980823338	0	0	4.116559982
103	0.9845745564	0.9845745564	0	0	0.9818569422	0	0	4.115352154
104	0.9690784216	0.9690784216	0	0	0.9820260406	0	0	4.115353107
105	0.9623724818	0.9623724818	0	0	0.9809827209	0	0	4.115568161
106	0.971486032	0.971486032	0	0	0.9808599353	0	0	4.116261959
107	0.9700468779	0.9700468779	0	0	0.979019165	0	0	4.115906715
108	0.9758366346	0.9758366346	0	0	0.9792228937	0	0	4.116431713
109	0.9837004542	0.9837004542	0	0	0.9801769257	0	0	4.117053986
110	0.9947043061	0.9947043061	0	0	0.980864048	0	0	4.117080688
111	1.010862827	1.010862827	0	0	0.9816826582	0	0	4.117044449
112	1.035803437	1.035803437	0	0	0.9826051593	0	0	4.116922379
113	1.035306692	1.035306692	0	0	0.9808703065	0	0	4.115430355
114	0.9967200756	0.9967200756	0	0	0.9797669649	0	0	4.115271568
115	0.9849011302	0.9849011302	0	0	0.9788588285	0	0	4.115129471
116	0.9718891382	0.9718891382	0	0	0.9786995649	0	0	4.114909172
117	0.9698886871	0.9698886871	0	0	0.9791387916	0	0	4.115885258
118	0.9723852277	0.9723852277	0	0	0.9796756506	0	0	4.115724564
119	0.958833158	0.958833158	0	0	0.9812216759	0	0	4.115151882
120	0.9567961693	0.9567961693	0	0	0.9813324213	0	0	4.115300655
121	0.9548386931	0.9548386931	0	0	0.9806024432	0	0	4.116231918
122	0.9541012049	0.9541012049	0	0	0.9806386828	0	0	4.116550446
123	0.9332304597	0.9332304597	0	0	0.9796391726	0	0	4.116967201
124	0.9405306578	0.9405306578	0	0	0.9788161516	0	0	4.116961479
125	0.9401148558	0.9401148558	0	0	0.9794428945	0	0	4.116983891
126	0.935741961	0.935741961	0	0	0.9803735614	0	0	4.11609745
127	0.9380925298	0.9380925298	0	0	0.982059598	0	0	4.115273476
128	0.9314767718	0.9314767718	0	0	0.9818835258	0	0	4.115290165
129	0.9295752645	0.9295752645	0	0	0.9811130762	0	0	4.115271568
130	0.9704539776	0.9704539776	0	0	0.9807583094	0	0	4.115502357
131	1.026575327	1.026575327	0	0	0.9795292616	0	0	4.114981174
132	1.105726361	1.105726361	0	0	0.9790259004	0	0	4.115461826
133	1.129658341	1.129658341	0	0	0.9802006483	0	0	4.117043495
134	1.182218432	1.182218432	0	0	0.9809795618	0	0	4.116588593
135	1.215579033	1.215579033	0	0	0.9821462035	0	0	4.116037846
136	1.239573359	1.239573359	0	0	0.9826989174	0	0	4.116388798
137	1.230170608	1.230170608	0	0	0.9815058112	0	0	4.11691761
138	1.203339815	1.203339815	0	0	0.9806159735	0	0	4.115412235
139	1.187690258	1.187690258	0	0	0.9790741205	0	0	4.114907265
140	1.175263286	1.175263286	0	0	0.9791244268	0	0	4.114893436
141	1.159914136	1.159914136	0	0	0.9797110558	0	0	4.115674496
142	1.152562261	1.152562261	0	0	0.9804234505	0	0	4.115263939
143	1.154636025	1.154636025	0	0	0.9821053743	0	0	4.115159988
