sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	1.235894203	1.235894203	0	0	0	0	0	4.116794586
1	1.244757771	1.244757771	0	0	0	0	0	4.114434242
2	1.240901947	1.240901947	0	0	0	0	0	4.116797924
3	1.244262218	1.244262218	0	0	0	0	0	4.116798878
4	1.247002959	1.247002959	0	0	0	0	0	4.116801739
5	1.250319362	1.250319362	0	0	0	0	0	4.116797924
6	1.251747847	1.251747847	0	0	0	0	0	4.116800308
7	1.252283931	1.252283931	0	0	0	0	0	4.116802216
8	1.249117851	1.249117851	0	0	0	0	0	4.116801739
9	1.245812416	1.245812416	0	0	0	0	0	4.116795063
10	1.241892338	1.241892338	0	0	0	0	0	4.116800785
11	1.243923783	1.243923783	0	0	0	0	0	4.116802216
12	1.245136619	1.245136619	0	0	0	0	0	4.11680603
13	1.279226422	1.279226422	0	0	0	0	0	4.116800308
14	1.315003753	1.315003753	0	0	0	0	0	4.116799831
15	1.316084743	1.316084743	0	0	0	0	0	4.116802216
16	1.313758612	1.313758612	0	0	0	0	0	4.116801262
17	1.31598413	1.31598413	0	0	0	0	0	4.11473608
18	1.309438944	1.309438944	0	0	0	0	0	4.116799355
19	1.308884263	1.308884263	0	0	0	0	0	4.116800785
20	1.30840826	1.30840826	0	0	0	0	0	4.116805077
21	1.308719635	1.308719635	0	0	0	0	0	4.116799831
22	1.310388684	1.310388684	0	0	0	0	0	4.116798401
23	1.310951233	1.310951233	0	0	0	0	0	4.11674881
24	1.308921576	1.308921576	0	0	0	0	0	4.116799355
25	1.317929029	1.317929029	0	0	0	0	0	4.114638329
26	1.312966943	1.312966943	0	0	0	0	0	4.116586685
27	1.312971115	1.312971115	0	0	0	0	0	4.116797924
28	1.313712835	1.313712835	0	0	0	0	0	4.116797924
29	1.314352632	1.314352632	0	0	0	0	0	4.116798401
30	1.31312108	1.31312108	0	0	0	0	0	4.116799831
31	1.309895992	1.309895992	0	0	0	0	0	4.116816044
32	1.306511641	1.306511641	0	0	0	0	0	4.1168046
33	1.300030231	1.300030231	0	0	0	0	0	4.116806984
34	1.276437879	1.276437879	0	0	0	0	0	4.11673975
35	1.232809901	1.232809901	0	0	0	0	0	4.116801262
36	1.163738966	1.163738966	0	0	0	0	0	4.116803169
37	1.102940083	1.102940083	0	0	0	0	0	4.116799355
38	1.044903517	1.044903517	0	0	0	0	0	4.116800785
39	1.056569934	1.056569934	0	0	0	0	0	4.116808891
40	1.049820542	1.049820542	0	0	0	0	0	4.11680603
41	1.0583781	1.0583781	0	0	0	0	0	4.114589214
42	1.053532958	1.053532958	0	0	0	0	0	4.116799831
43	1.054523706	1.054523706	0	0	0	0	0	4.116797924
44	1.055959105	1.055959105	0	0	0	0	0	4.116803169
45	1.057733178	1.057733178	0	0	0	0	0	4.116799355
46	1.059146881	1.059146881	0	0	0	0	0	4.116800308
47	1.05871892	1.05871892	0	0	0	0	0	4.116818905
48	1.05697	1.05697	0	0	0	0	0	4.116802692
49	1.057959199	1.057959199	0	0	0	0	0	4.116191387
50	1.053262591	1.053262591	0	0	0	0	0	4.116802216
51	1.055049658	1.055049658	0	0	0	0	0	4.116797447
52	1.054910779	1.054910779	0	0	0	0	0	4.116798401
53	1.05435586	1.05435586	0	0	0	0	0	4.11679697
54	1.05664587	1.05664587	0	0	0	0	0	4.116799355
55	1.057525754	1.057525754	0	0	0	0	0	4.116808414
56	1.05822432	1.05822432	0	0	0	0	0	4.116800785
57	1.062579632	1.062579632	0	0	0	0	0	4.116804123
58	1.088446259	1.088446259	0	0	0	0	0	4.114506245
59	1.118397474	1.118397474	0	0	0	0	0	4.116155148
60	1.138381362	1.138381362	0	0	0	0	0	4.114660263
61	1.146857858	1.146857858	0	0	0	0	0	4.116798401
62	1.184333205	1.184333205	0	0	0	0	0	4.116799355
63	1.202960372	1.202960372	0	0	0	0	0	4.116806984
64	1.206611514	1.206611514	0	0	0	0	0	4.116798401
65	1.211911917	1.211911917	0	0	0	0	0	4.114542484
66	1.20770359	1.20770359	0	0	0	0	0	4.116364479
67	1.20645237	1.20645237	0	0	0	0	0	4.116797924
68	1.207166076	1.207166076	0	0	0	0	0	4.11679697
69	1.208485603	1.208485603	0	0	0	0	0	4.116798401
