sample	stable_mse	final_mse	gain	mapping_gate	shape_gate	scale_gate	shift_gate	pattern_entropy
0	0.9273921251	0.9273921251	0	0	1	1	1	4.121244907
1	0.8967288136	0.8967288136	0	0	1	1	1	4.121216297
2	0.8938128352	0.8938128352	0	0	1	1	1	4.121469975
3	0.9125248194	0.9125248194	0	0	1	1	1	4.121601582
4	0.9262512922	0.9262512922	0	0	1	1	1	4.121807098
5	0.932659626	0.932659626	0	0	1	1	1	4.12146759
6	0.9041717052	0.9041717052	0	0	1	1	1	4.121126652
7	0.9307594299	0.9307594299	0	0	1	1	1	4.121022701
8	0.9408431053	0.9408431053	0	0	1	1	1	4.121287346
9	0.9077304006	0.9077304006	0	0	1	1	1	4.1211586
10	0.9028455019	0.9028455019	0	0	1	1	1	4.121363163
11	0.9133708477	0.9133708477	0	0	1	1	1	4.121448517
12	0.9115082026	0.9115082026	0	0	1	1	1	4.121488571
13	0.9427573085	0.9427573085	0	0	1	1	1	4.12141943
14	0.9663583636	0.9663583636	0	0	1	1	1	4.12109375
15	0.9655146003	0.9655146003	0	0	1	1	1	4.121050358
16	0.9550332427	0.9550332427	0	0	1	1	1	4.121249199
17	0.9483819604	0.9483819604	0	0	1	1	1	4.121095181
18	0.9866700172	0.9866700172	0	0	1	1	1	4.121301174
19	0.9926069975	0.9926069975	0	0	1	1	1	4.121506214
20	0.9904741645	0.9904741645	0	0	1	1	1	4.121608734
21	1.006590247	1.006590247	0	0	1	1	1	4.121506691
22	0.9958697557	0.9958697557	0	0	1	1	1	4.121091843
23	1.015698552	1.015698552	0	0	1	1	1	4.121014595
24	0.9744540453	0.9744540453	0	0	1	1	1	4.121117592
25	0.9568303227	0.9568303227	0	0	1	1	1	4.121155739
26	0.9884309173	0.9884309173	0	0	1	1	1	4.121336937
27	0.9686325788	0.9686325788	0	0	1	1	1	4.121479034
28	0.9970319867	0.9970319867	0	0	1	1	1	4.121575356
29	0.9951184392	0.9951184392	0	0	1	1	1	4.121397018
30	0.9752313495	0.9752313495	0	0	1	1	1	4.121152401
31	0.9778059125	0.9778059125	0	0	1	1	1	4.121096134
32	0.9953374267	0.9953374267	0	0	1	1	1	4.121226311
33	0.987180829	0.987180829	0	0	1	1	1	4.121315479
34	0.9708740711	0.9708740711	0	0	1	1	1	4.12139225
35	0.9414353371	0.9414353371	0	0	1	1	1	4.121382236
36	0.9091536999	0.9091536999	0	0	1	1	1	4.121486664
37	0.8622895479	0.8622895479	0	0	1	1	1	4.121393681
38	0.802143991	0.802143991	0	0	1	1	1	4.121123314
39	0.8126577735	0.8126577735	0	0	1	1	1	4.121048927
40	0.8453230858	0.8453230858	0	0	1	1	1	4.121121883
41	0.8159951568	0.8159951568	0	0	1	1	1	4.121081829
42	0.8036292791	0.8036292791	0	0	1	1	1	4.121229649
43	0.8083236217	0.8083236217	0	0	1	1	1	4.121425629
44	0.7996233702	0.7996233702	0	0	1	1	1	4.121583939
45	0.816631496	0.816631496	0	0	1	1	1	4.121549129
46	0.8140226007	0.8140226007	0	0	1	1	1	4.121087551
47	0.8194304109	0.8194304109	0	0	1	1	1	4.121015072
